,SS,label
SubSec 5.2.2.8,5.2.2.8,"If the system is not able to connect the call, an audible and visual indication shall beprovided to the driver that the call was not received by the controller. This shall alsoindicate if the called party was busy or if the network could not connect the call. (M)Call other drivers in the area (on other trains)"
SubSec 5.2.2.9,5.2.2.9,It shall be possible for a driver to initiate and participate in group voice calls betweendrivers in a pre-defined geographical area. (M)
SubSec 5.2.2i,5.2.2i,Once a call has been established the connected parties shall be able to communicate.(M)
SubSec 5.2.2ii,5.2.2ii,Picking up the handset shall transfer the communication to the handset and reduce theloudspeaker volume to its minimum level. (M)
SubSec 5.2.2iii,5.2.2iii,Replacing the handset either: (M)- cancels the call; or- transfers the call to the loudspeaker at the initial volume.
SubSec 5.2.2iv,5.2.2iv,A Push-To-Talk function shall be provided for use during group calls. (M)
SubSec 5.2.2v,5.2.2v,The use of Push-To-Talk for all types of communications is acceptable if needed forergonomic reasons or to avoid the noise of the cab being transmitted to the other party.(I)Call controller
SubSec 5.2.3,5.2.3,Other driver-related functionsPowering up radio
SubSec 5.2.3.1,5.2.3.1,"Powering up the Cab radio will initiate the following:- automatic self-testing; (M)- automatic selection of the pre-set loudspeaker volume; (M)- registration with other on-train systems, such as ERTMS/ETCS; (M)- all failures of self-tests should be recorded in the train-borne recorder; (O)- connection of the Cab radio to an authorised mobile network. This shall be thenetwork to which the mobile was last registered (where available); (M)- if connection is successful, the name of the network shall be displayed on the MMIand an audible indication of successful connection shall be given; (M)- if connection is not successful, an audible and visual indication shall be provided.(M)- if connection is not successful, the manual network selection procedure may beinitiated by the driver (see 5.2.3.23). (I)"
SubSec 5.2.3.10,5.2.3.10,"As far as possible, the above procedure should also apply on power failure. (O)"
SubSec 5.2.3.11,5.2.3.11,"When switched off, the following functions (if available) shall still be provided: (M)- public address;- call Chief Conductor;- intercom.Select language"
SubSec 5.2.3.12,5.2.3.12,It shall be possible to present radio related prompts and information in a number ofdifferent languages. (M)
SubSec 5.2.3.13,5.2.3.13,"By default, prompts and information shall be displayed in the language selected by thetrain owner (as stored within the system). (M)"
SubSec 5.2.3.14,5.2.3.14,It shall be possible for the user to display a list of available languages and select thelanguage in which radio related prompts and information are displayed both at turnon and during a journey (eg where a change of drivers may occur). (M)
SubSec 5.2.3.15,5.2.3.15,The languages to be supported will be a matter for each national railway to decide. (I)
SubSec 5.2.3.16,5.2.3.16,The radio shall support at least ten different languages. (M)Adjust loudspeaker volume
SubSec 5.2.3.17,5.2.3.17,"By default, the loudspeaker volume shall be set to a pre-determined level suitable forthe operating environment (as stored within the system). (M)"
SubSec 5.2.3.18,5.2.3.18,It shall be possible for the driver to increase and decrease the loudspeaker volumewithin the adjustment range selected. (M)
SubSec 5.2.3.19,5.2.3.19,"When the handset is picked up, the loudspeaker shall continue to operate, but at areduced volume level. (M)"
SubSec 5.2.3.2,5.2.3.2,"At the point of successful connection, the Cab radio will be able to receive all callsmade using the Cab radio’s telephone number, engine number or appropriate groupcall numbers (including Railway emergency calls). (I)"
SubSec 5.2.3.20,5.2.3.20,Deleted.
SubSec 5.2.3.21,5.2.3.21,Deleted.
SubSec 5.2.3.22,5.2.3.22,Deleted.Manual network selection
SubSec 5.2.3.23,5.2.3.23,"Using a simple MMI action, it shall be possible for the driver to view a prioritised listof all authorised mobile radio networks (see section 10.5). (M)"
SubSec 5.2.3.23i,5.2.3.23i,"When presented with this list, it shall be possible for the driver (using simple MMIactions) to select the required mobile radio network manually, whereupon the Cabradio shall attempt to attach to this selected network. (M)"
SubSec 5.2.3.24,5.2.3.24,The manual network selection function shall not be available when there are on-goingvoice calls involving the Cab radio. (M)
SubSec 5.2.3.25,5.2.3.25,A visual confirmation of the new network identity shall be given to the driver when amanually initiated network change has been completed successfully. (M)
SubSec 5.2.3.25i,5.2.3.25i,Manual network selection is suitable for crossing international borders. (I)Directed network selection
SubSec 5.2.3.25ii,5.2.3.25ii,The Cab radio should be capable of selecting the mobile radio network as directed byinput from an external device (eg a balise). (O)
SubSec 5.2.3.25iii,5.2.3.25iii,"If directed network selection is implemented and voice calls are ongoing at the timewhen the external device attempts to trigger a network change, an audible and visualindication shall be given to the driver and network change shall be deferred until thecall is terminated or until coverage of the current network is lost. (M)"
SubSec 5.2.3.25iv,5.2.3.25iv,"If directed network selection is implemented, input from the external device(s) shallinitiate the network change regardless of the identity of the current network and howit was selected. (M)"
SubSec 5.2.3.25ix,5.2.3.25ix,Automatic network selection is not suitable for use in areas where there is a risk thatthe Cab radio will change to a foreign network unpredictably. (I)
SubSec 5.2.3.25v,5.2.3.25v,Directed network selection is suitable for crossing international borders. (I)Automatic network selection
SubSec 5.2.3.25vi,5.2.3.25vi,The Cab radio should be capable of selecting the mobile radio network automaticallyfrom a list of suitable networks (see section 10.5). (O)
SubSec 5.2.3.25vii,5.2.3.25vii,"If automatic network selection is implemented, it shall be possible for the driver toactivate and deactivate automatic network selection. (M)"
SubSec 5.2.3.25viii,5.2.3.25viii,Automatic network selection shall not be used for international border crossing. (M)
SubSec 5.2.3.25x,5.2.3.25x,"If directed network selection and/or automatic network selection are implemented,the driver shall be informed by means of an audible and visual indication of the newnetwork identity whenever a network change takes place without user intervention.(M)Register and deregister train number"
SubSec 5.2.3.26,5.2.3.26,It shall be possible for the driver to register and deregister a train number in thefollowing ways:
SubSec 5.2.3.27,5.2.3.27,"Where the driver is required to enter the train number information, the informationentered shall be shown on the display and require confirmation by the driver beforefurther actions are possible. (M)"
SubSec 5.2.3.28,5.2.3.28,"If an automated request is initiated (option 2), the driver shall be able to accept or rejectthe train number returned by the network. (M)"
SubSec 5.2.3.28i,5.2.3.28i,"Where ERTMS/ETCS and radio systems are available and the driver is required toenter the train number as part of the initialisation procedure, this task shall be carriedout only once on the ERTMS/ETCS system and the entered number transmitted to theradio system. (M)"
SubSec 5.2.3.28ii,5.2.3.28ii,Data entry may be from either system depending on the operating procedures agreedbetween the train operator and the railway infrastructure operator. (I)
SubSec 5.2.3.29,5.2.3.29,The driver shall be warned (by audible and visual indications) if a train with the sametrain number is already registered on the same network. (M)
SubSec 5.2.3.3,5.2.3.3,Powering down the Cab radio shall cause the disconnection of the Cab radio from themobile network. (M)
SubSec 5.2.3.30,5.2.3.30,A means to override the currently registered train number shall be provided to the“newly registering” driver. (M)
SubSec 5.2.3.31,5.2.3.31,The driver of the previously registered train shall be informed (by audible and visualindications) that his train number has been overridden by another driver. (M)
SubSec 5.2.3.32,5.2.3.32,"Where a change of train number is required during the course of a train’s journey, itshall be possible for the driver to initiate the change or override the automatic change.This shall be carried out by entering the train number (option 1 in 5.2.3.26). (M)"
SubSec 5.2.3.33,5.2.3.33,"Non leading drivers shall be able to indicate to the system their location in the trainduring the registration procedure (2nd driver, 3rd driver etc). (M)Register and deregister on-train users (on-train functions)"
SubSec 5.2.3.34,5.2.3.34,The driver’s functional number shall be automatically registered/deregistered whenthe train number is registered/deregistered. (M)
SubSec 5.2.3.35,5.2.3.35,The functional number of other on-train users who may be addressed through the Cabradio via the on-train bus shall be registered/deregistered automatically at the sametime as the registration/deregistration of the driver’s functional number. (M)
SubSec 5.2.3.36,5.2.3.36,"Where an on-train bus is connected to the Cab radio, deregistration of functionalnumbers can be performed on an individual basis and also by the train driver, by oneaction for all users (including the driver), at the end of the journey when the trainnumber is no longer associated with the train. (O)Register and deregister stock number (engine/coach number)"
SubSec 5.2.3.37,5.2.3.37,"There shall be a fixed relationship between the telephone numbers of radios installedin the locomotive/coach and the stock number, which shall remain even if the radio ischanged. (M)"
SubSec 5.2.3.38,5.2.3.38,It shall be possible to register and deregister a stock number in one or both of thefollowing ways: (M)- automatically using information from on-board systems;- automatically via a fixed interface between the locomotive/coach and the radio.Store/retrieve numbers and their details
SubSec 5.2.3.39,5.2.3.39,The Cab radio shall have a reconfigurable list of stored numbers that may be used toperform abbreviated dialling to named user identities. (M)
SubSec 5.2.3.4,5.2.3.4,"When switched off, the radio shall retain any numbers which are stored at the time theradio is switched off. (M)Switch radio MMI on/off"
SubSec 5.2.3.40,5.2.3.40,It shall be possible for the driver to find and display stored numbers and theirinformation. (M)
SubSec 5.2.3.41,5.2.3.41,It should be possible for the driver to store and overwrite numbers and their details inthe Cab radio. (O)Invoke supplementary services
SubSec 5.2.3.42,5.2.3.42,General MMI functions are required to support the following call functions:- forward call to the driver handportable; (O)- put a call on hold; (M)- display incoming call details whilst in an on-going call; (M)- temporarily exit an existing call to answer another incoming call; (M)- multi-driver call service. (M)
SubSec 5.2.3.43,5.2.3.43,The actions required from the driver will be as simple as possible. (I)Invoke tests
SubSec 5.2.3.44,5.2.3.44,It shall be possible to initiate tests of the radio to provide the driver with a reasonablelevel of certainty that the radio and MMI are working. (M)
SubSec 5.2.3.45,5.2.3.45,Such tests shall not prevent calls. (M)
SubSec 5.2.3.46,5.2.3.46,The result of the tests shall be displayed in a similar format to the self-test when MMIis powered on. (M)
SubSec 5.2.3.5,5.2.3.5,The MMI on/off control shall be designed to prevent accidental activation/deactivation. (M)
SubSec 5.2.3.6,5.2.3.6,"Switching the MMI on shall cause the following: (M)- self test of MMI (eg transitory lighting of the display and of all the controls andindicator lights of the MMI);- determination of the status of the Cab radio, providing a display of radio status onthe MMI."
SubSec 5.2.3.7,5.2.3.7,"When the MMI is switched on, the configuration shall be determined by the timeelapsed since the MMI was last switched off: (M)- less than t minutes – the MMI shall power up with the same configuration as whenit was last powered down;- greater than t minutes – the MMI shall power up with default settings."
SubSec 5.2.3.8,5.2.3.8,"The time t should be able to be varied between 0 and 240 minutes, as a maintenancefunction, allowing the radio to power up in a consistent state following minoroperational procedures or power interruptions. (O)"
SubSec 5.2.3.9,5.2.3.9,Switch off shall be “soft” so that the Cab radio completes the following housekeepingfunctions before actually switching off: (M)- controlled termination of a current call;- deregister train number (where applicable);- store required data;- confirmation of Railway emergency calls (see section 13).
SubSec 5.2.4,5.2.4,Other Cab radio functionsHandle incoming/outgoing calls to/from appropriate on-train users or devices
SubSec 5.2.4.1,5.2.4.1,"The Cab radio system may be required to be able to handle incoming and outgoingcalls not only to and from the driver, but also to and from other on-train users anddevices (conductor, public address system, data systems, etc) via appropriate interfacesand ports. (I)"
SubSec 5.2.4.10,5.2.4.10,"Upon the request of the driver, the Cab radio should be able to perform a suite of runtimediagnostic tests on all physical interfaces. (O)"
SubSec 5.2.4.11,5.2.4.11,"If run-time diagnostics are implemented, failure of an interface shall be reported to thedriver via the display. (M)"
SubSec 5.2.4.12,5.2.4.12,"If run-time diagnostics are implemented, all failures should be available to be recordedin a train-borne recorder. (O)"
SubSec 5.2.4.13,5.2.4.13,"If run-time diagnostics are implemented, diagnostic tests shall not interfere withnormal operation of the Cab radio. (M)"
SubSec 5.2.4.14,5.2.4.14,Railways will require facilities to support the use of automatic test equipment withmobile radios. (I)
SubSec 5.2.4.2,5.2.4.2,"For data applications, calls shall be possible even if the driver MMI is switched off. (M)"
SubSec 5.2.4.3,5.2.4.3,The Cab radio may need to conserve battery power when the radio is powered up butthe MMI is switched off. (I)Handling of call priorities
SubSec 5.2.4.4,5.2.4.4,"The Cab radio may be required to set up calls from a number of different sources.Therefore, the radio shall provide a priority function for calls from different sources inorder to handle contention for the radio. (M)"
SubSec 5.2.4.5,5.2.4.5,"In order to meet other call priorities, established calls shall be able to be either put onhold or cleared down (pre-empted). (M)"
SubSec 5.2.4.6,5.2.4.6,The Cab radio shall be capable of handling contention between calls of differingpriorities. (M)
SubSec 5.2.4.7,5.2.4.7,An outgoing call request of higher priority than an established call shall takeprecedence over the established call. (M)
SubSec 5.2.4.8,5.2.4.8,"Where pre-emption occurs, an advisory indication may be provided to the pre-emptedparties. (O)"
SubSec 5.2.4.9,5.2.4.9,Priority call handling facilities shall be provided such that the performancerequirements defined in sections 3.4 and 10.2 can be met. (M)Run-time diagnostics
SubSec 5.3,5.3,Environmental and physical requirements
SubSec 5.3.1,5.3.1,"Train-mounted equipment including the Cab radio terminal equipment, MMI andantenna shall comply with all specifications in section 4.3 and all of those defined inthis section. (M)"
SubSec 5.3.2,5.3.2,The radio equipment that will be mounted in rolling stock can be split into two classes:in-cab equipment and external equipment. Each type of equipment has slightlydifferent requirements placed upon it in terms of EMC and climate. (UIC fiche 6515 is auseful reference concerning the layout of cab equipment.) (I)Physical conditions
SubSec 5.3.3,5.3.3,"Measures should be taken to reduce the risk of theft of radio equipment. Examples ofsuch measures include physical protection, alarms and access control measures. (I)"
SubSec 5.3.4,5.3.4,"Ease of maintenance should be taken into account in the design and installation ofradio equipment. For example, maintenance access to antennas on vehicles should beprovided. (I)Electrical"
SubSec 5.3.5,5.3.5,"Cab radios should be able to continue to operate for a period of at least 1 hour in theevent of failure of the train’s power supply, based on the following cycle: (O)- point-to-point calls 20%;- group calls 5%;- standby 75%.Electromagnetic Compatibility"
SubSec 5.3.6,5.3.6,"Requirements on electromagnetic emissions for the Cab radio are to be more stringentthan those defined for other radio types due to close proximity to other train-mountedcontrol and protection equipment, and higher transmission power. (I)"
SubSec 5.4,5.4,Driver man-machine interface
SubSec 5.4.1,5.4.1,The driver man-machine interface shall comprise the following components: (M)- display;- control panel;- loudspeaker;- handset with Push-To-Talk button.
SubSec 5.4.10,5.4.10,The following colours shall only be used where mandated in 5.4.11: (M)- red;- green.
SubSec 5.4.11,5.4.11,The standard set of audible and visual indications specified in the CENELEC Standardfor the Driver-Machine Interface for ERTMS shall be implemented in the Cab radiosystem. (M)
SubSec 5.4.12,5.4.12,Deleted.
SubSec 5.4.13,5.4.13,"Some Cab radios may need to be operated by staff wearing gloves and controls mayneed to be suitable for use in a wide range of conditions, eg splash proof and suitablefor viewing in direct sunlight and in darkness. (O)"
SubSec 5.4.14,5.4.14,"Where there is a risk that stored numbers or other set-up details may be accidentallychanged, facilities should be provided on the Cab radio in order to prevent thishappening. (O)"
SubSec 5.4.15,5.4.15,Cab radios shall provide a means of preventing tampering. (M)Service availability
SubSec 5.4.16,5.4.16,"If contact with the mobile radio network is lost, then the Cab radio shall give anaudible and visual indication. (M)"
SubSec 5.4.2,5.4.2,Radio equipment installed in a driver’s Cab shall not obstruct the driver’s vision orotherwise hinder the safe driving of the train. (M)
SubSec 5.4.2i,5.4.2i,The design of the equipment shall make it possible to install it within a cab complyingwith the requirements of UIC fiche 651 concerning the layout of cab equipment5. (M)
SubSec 5.4.3,5.4.3,All call related functions shall be possible with the handset on or off the hook. (M)
SubSec 5.4.4,5.4.4,Note: there is no requirement for hands free operation. (I)
SubSec 5.4.5,5.4.5,"The driver shall be able to adjust the brightness of buttons, indicator lights anddisplays according to the ambient lighting in the cab. (M)"
SubSec 5.4.6,5.4.6,The driver shall be able to adjust the contrast of the display. (M)
SubSec 5.4.7,5.4.7,The emergency call button shall be red and shall be protected against accidental use.(M)
SubSec 5.4.8,5.4.8,"Any displays shall be clearly readable from a normal driver’s position, assuming anormal reading distance. (M)"
SubSec 5.4.9,5.4.9,Displayed characters shall have a minimum height of 5mm. (M)
SubSec 5.5,5.5,Deleted
SubSec 5.5.1,5.5.1,Deleted.
SubSec 5.6,5.6,Deleted
SubSec 5.6.1,5.6.1,Deleted.
SubSec 5.7,5.7,Driver safety device interface
SubSec 5.7.1,5.7.1,A driver safety device (DSD) interface should be provided in traction units that areequipped with a DSD in order to support the transmission of a DSD alarm. (O)
SubSec 5.7.1i,5.7.1i,"If such an interface is implemented, it shall be capable of being connected to a devicecomplying with UIC fiche 6413 concerning automatic vigilance devices used ininternational traffic. (M)"
SubSec 5.7.2,5.7.2,The activation of the driver safety device shall automatically trigger the Cab radio tosend a data message. (M)
SubSec 5.7.3,5.7.3,The DSD alarm call/message shall provide the following information:- train number; (M)- engine number; (M)- location information. (O)
SubSec 5.7.4,5.7.4,DSD alarm information shall be transmitted to the primary controller. (M)
SubSec 5.7.5,5.7.5,Additional information may also be provided if available from external systems. (O)
SubSec 5.8,5.8,Train-borne recorder
SubSec 5.8.1,5.8.1,The Cab radio shall be able to provide the following information to a train-bornerecorder or other equipment via a standardised interface:- activation of Cab radio emergency call button; (M)
SubSec 5.9,5.9,Control/command interfaces
SubSec 5.9.1,5.9.1,On-train mobiles shall provide a standardised interface to ERTMS/ETCS. (M)
SubSec 5.9.2,5.9.2,"In addition, individual railways may have requirements to interface to nationalcontrol/command systems. (I)"
SubSec 6.,6.,General purpose radio;
SubSec 6.1,6.1,Introduction
SubSec 6.1.1,6.1.1,This section identifies the functional requirements for General purpose radio. It coversthe functionality to be provided by the General purpose radio and the man-machineinterface (MMI) is also defined. (I)
SubSec 6.2,6.2,Functional requirements
SubSec 6.2.1,6.2.1,Summary
SubSec 6.2.1.1,6.2.1.1,"In this section, the functions to be provided by the General purpose radio aredescribed. (I)"
SubSec 6.2.1.2,6.2.1.2,The following functions will be provided:Call related functions- call authorised users (including controllers); (M)- send Railway emergency calls; (O)- receive Railway emergency calls; (O)- receive incoming calls; (M)- group and broadcast calls; (M)- terminate calls; (M)Other functions- switch radio on and off; (M)- select language; (M)- select mobile radio network; (M)- adjust loudspeaker volume; (M)- register and deregister functional numbers; (M)- store/retrieve numbers and their details; (M)- computer interface. (O)
SubSec 6.2.2,6.2.2,Call related functionsCall authorised users
SubSec 6.2.2.1,6.2.2.1,"The General purpose radio shall be capable of use as a standard telephone, such thatthe user is able to call any valid number subject to call restrictions enforced by thenetwork. (M)Send Railway emergency call"
SubSec 6.2.2.10,6.2.2.10,"If the call is a group call, the user has to request permission to speak during the call byusing the Push-To-Talk (PTT) function. (M)"
SubSec 6.2.2.11,6.2.2.11,"In a group call, a visual indication shall be provided to remind the user of the need touse the PTT function. (M)"
SubSec 6.2.2.12,6.2.2.12,The user may not speak in a group call until permission is granted by the network afterusing the PTT function. (I)
SubSec 6.2.2.13,6.2.2.13,"In a group call, an audible and visual indication of whether the request was successfulshall be provided. The user may then talk whilst the PTT function is used. (M)"
SubSec 6.2.2.14,6.2.2.14,"If the user moves out of the group or broadcast call area whilst the call is in progress,an audible and visual indication of the loss of call shall be provided to the user. (M)Receive incoming Railway emergency call"
SubSec 6.2.2.15,6.2.2.15,Reception of this call (if implemented) shall proceed as for a standard group orbroadcast call except that a distinctive audible and visual indication shall be provided.(M)Terminate calls
SubSec 6.2.2.16,6.2.2.16,The radio shall provide a means for the user to terminate calls which he is authorisedto terminate (ie all calls except broadcast or group calls not initiated by the user). (M)
SubSec 6.2.2.2,6.2.2.2,The facility for a given General purpose radio to send a Railway emergency call (seesection 13) shall be determined as a management function. (M)
SubSec 6.2.2.3,6.2.2.3,A special MMI action shall be required for a General purpose radio user to send aRailway emergency call. (M)
SubSec 6.2.2.4,6.2.2.4,It shall not be possible for any General purpose radio user to send a Railwayemergency call by dialling a short code or telephone number. (M)Receive incoming point to point voice call
SubSec 6.2.2.5,6.2.2.5,An audible and visual indication of an incoming call shall be provided. (M)
SubSec 6.2.2.6,6.2.2.6,"Where available, the functional identity of the calling party shall be displayed. (M)Receive incoming group or broadcast voice call"
SubSec 6.2.2.7,6.2.2.7,A short audible and visual indication of the incoming call shall be provided. (M)
SubSec 6.2.2.8,6.2.2.8,The group identity of the voice group call (VBS or VGCS) shall be displayed. (M)
SubSec 6.2.2.9,6.2.2.9,"If the call is a broadcast call, the user shall be informed that he cannot speak as part ofthe broadcast call. (M)"
SubSec 6.2.3,6.2.3,Other functionsSwitch radio on and off
SubSec 6.2.3.1,6.2.3.1,"The radio shall have an on/off switch. Switching the radio ‘on’ shall initiate thefollowing: (M)- transitory lighting of any display, controls or indicator lights;- automatic self-testing;- if the self-test fails a visible and audible indication shall be provided;- connection to a mobile network (see section 3.3);- if connection is successful, the name of the network shall be displayed and anaudible confirmation of successful connection shall be given;- if connection is not successful, an audible and visual indication shall be provided."
SubSec 6.2.3.10,6.2.3.10,It shall be possible to register and deregister a functional number in the following way:- Initiated by the user and transmitted to the ground:- user enters functional number which is transmitted to the network. (M)
SubSec 6.2.3.11,6.2.3.11,"Where a change of functional number is required, it shall be possible for the user toinitiate the change. (M)Store/retrieve numbers and their details"
SubSec 6.2.3.12,6.2.3.12,It shall be possible for the user to find and display stored numbers and theirinformation. (M)
SubSec 6.2.3.13,6.2.3.13,It shall be possible for the user to store and/or overwrite numbers and their details inthe radio. (M)Computer interface
SubSec 6.2.3.14,6.2.3.14,A standard data interface should be provided to allow a computer to be connected tothe radio. (O)
SubSec 6.2.3.2,6.2.3.2,"At this point, the radio will be able to receive all calls initiated using the telephonenumber or appropriate group call number. (I)"
SubSec 6.2.3.3,6.2.3.3,Switching the radio off shall cause the following: (M)- termination of all calls under the control of (ie initiated by) the radio;- disconnection of the radio from the network;- clearing the display and inhibition of functions.
SubSec 6.2.3.4,6.2.3.4,"When switched off, the radio shall retain any settings and numbers which are stored atthe time the radio is switched off. (M)Select language"
SubSec 6.2.3.5,6.2.3.5,Prompts and messages shall be capable of being displayed in at least 10 languages(each railway will choose which languages will be implemented). (M)
SubSec 6.2.3.6,6.2.3.6,The user shall be able to select his preferred language for the display; this setting shallbe retained by the radio. (M)
SubSec 6.2.3.7,6.2.3.7,"When the radio is first powered on, the language that appears on the display shall bethe default one set by the national railway. (M)Select mobile radio network"
SubSec 6.2.3.8,6.2.3.8,"Where more than one mobile radio network is available for use by a mobile, theselection of the network to use shall be automatic (see section 10.5). (M)"
SubSec 6.2.3.9,6.2.3.9,"When the mobile changes network automatically, a visual and audible indication shallbe given. (M)"
SubSec 6.2.3.9i,6.2.3.9i,It shall be possible for a user to override the automatic network selection manually.This function shall not be available during calls. (M)Register and deregister functional number
SubSec 6.3,6.3,Environmental and physical requirements
SubSec 6.3.1,6.3.1,The full environmental and physical specification of the General purpose radio isintended to be as close as possible to that of a Commercial-Off-The-Shelf (COTS)mobile whilst adhering to the specifications provided in section 4.3 and this section. (I)Physical conditions
SubSec 6.3.2,6.3.2,"The General purpose radio should be small, compact and easy to carry. (I)"
SubSec 6.3.3,6.3.3,It should be possible for a user to change the battery without the use of tools. (O)
SubSec 6.3.4,6.3.4,The weight of the General purpose radio including battery should not exceed 250g. (O)
SubSec 6.3.5,6.3.5,General purpose radios should be equipped with rechargeable batteries capable ofproviding a minimum of eight hours operation from a single charge based on thefollowing cycle (see section 4.3.9): (O)- point-to-point calls 20%;- group calls 5%;- standby 75%.
SubSec 6.3.6,6.3.6,Changing the battery should not result in losing data stored in the radio. (O)
SubSec 6.3.7,6.3.7,The General purpose radio should be suitable for use with a car adapter kit. (O)
SubSec 6.4,6.4,Man-machine interface
SubSec 6.4.1,6.4.1,General
SubSec 6.4.1.1,6.4.1.1,The General purpose radio should comprise the man-machine interface which includesthe following components: (O)- display;- control panel;- loudspeaker;- microphone.
SubSec 6.4.1.2,6.4.1.2,The MMI should be suitable for use both by day and night. (O)
SubSec 6.4.2,6.4.2,Controls
SubSec 6.4.2.1,6.4.2.1,The on/off control should be designed to prevent accidental activation/deactivation.(O)
SubSec 6.4.2.2,6.4.2.2,Facilities should be provided to adjust the loudspeaker volume. (O)
SubSec 6.4.2.3,6.4.2.3,A Push-To-Talk function shall be provided. The Push-To-Talk function does not needto be a dedicated button. (M)
SubSec 6.4.2.4,6.4.2.4,Four buttons should be provided for designated stored numbers. These buttons neednot be dedicated buttons. (This facility is required to allow calls to specified users to beinitiated quickly.) (O)
SubSec 6.4.2.5,6.4.2.5,Stored numbers and other set-up details should be protected against accidentalalteration. (O)
SubSec 6.4.2.6,6.4.2.6,"If the ability to initiate Railway emergency calls is implemented in the radio, accidentalinitiation of a Railway emergency call shall be prevented. (M)"
SubSec 6.4.3,6.4.3,Indications
SubSec 6.4.3.1,6.4.3.1,A visual and audible indication shall be given when the remaining capacity of thebattery is such as to enable only 10 minutes of full duplex call time. (M)
SubSec 6.4.3.2,6.4.3.2,A network service availability indication shall be provided to the user. (M)
SubSec 6.4.3.3,6.4.3.3,A visual indication shall be provided to the user if the network service is no longeravailable. (M)
SubSec 6.4.3.4,6.4.3.4,An audible indication should be provided to the user if the network service is nolonger available. (O)
SubSec 7.,7.,Operational radio;
SubSec 7.1,7.1,Introduction
SubSec 7.1.1,7.1.1,This section identifies the functional requirements for the EIRENE Operational radio. Itcovers the functionality to be provided by the Operational radio and the man-machineinterface (MMI) is also defined. (I)
SubSec 7.2,7.2,Operational radio functions
SubSec 7.2.1,7.2.1,Summary
SubSec 7.2.1.1,7.2.1.1,"In this section, the functions to be provided by the Operational radio are described. (I)"
SubSec 7.2.1.2,7.2.1.2,The following functions will be provided:Call related functions- call authorised users; (M)- call controller; (M)- send Railway emergency calls; (M)- receive Railway emergency calls; (M)- receive incoming calls; (M)- group and broadcast calls; (M)- terminate calls; (M)- shunting mode communications; (O)- enter/leave direct mode; (O)Other functions- switch radio on/off; (M)- select language; (M)- select mobile radio network; (M)- adjust loudspeaker volume; (M)- register and deregister functional number; (M)- store/retrieve numbers and their details; (M)- computer interface. (O)
SubSec 7.2.2,7.2.2,Call related functionsCall authorised users
SubSec 7.2.2.1,7.2.2.1,"The Operational radio shall be capable of use as a standard telephone, such that theuser is able to call any valid number subject to call restrictions enforced by thenetwork. (M)"
SubSec 7.2.2.10,7.2.2.10,The Railway emergency call shall be able to be initiated using a single red button (seesection 13). (M)
SubSec 7.2.2.11,7.2.2.11,"It should be possible, as a maintenance function, to enable/disable the emergency callfunction. (O)"
SubSec 7.2.2.12,7.2.2.12,"If the emergency call function is disabled, a visual indication and short audibleindication shall be given when:"
SubSec 7.2.2.13,7.2.2.13,An audible and visual indication of an incoming call shall be provided. (M)
SubSec 7.2.2.14,7.2.2.14,"Where available, the functional identity of the calling party shall be displayed. (M)Receive incoming group or broadcast voice call"
SubSec 7.2.2.15,7.2.2.15,A short audible and visual indication of the incoming call shall be provided. (M)
SubSec 7.2.2.16,7.2.2.16,The group identity of the voice group call (VBS or VGCS) shall be displayed. (M)
SubSec 7.2.2.17,7.2.2.17,"If the call is a broadcast call, the user shall be informed that he cannot speak as part ofthe broadcast call. (M)"
SubSec 7.2.2.18,7.2.2.18,"If the call is a group call, the user has to request permission to speak during the call byusing the Push-To-Talk (PTT) function. (M)"
SubSec 7.2.2.19,7.2.2.19,"In a group call, a visual indication shall be provided to remind the user of the need touse the PTT function. (M)"
SubSec 7.2.2.2,7.2.2.2,It shall be possible for the user of an Operational radio to establish a call with each ofthe following types of controller (who are not permanently included in a shuntinggroup) with a minimum number of actions being required:- primary controller; (M)- secondary controller; (M)- power supply controller. (O)
SubSec 7.2.2.20,7.2.2.20,The user may not speak in a group call until permission is granted by the network afterusing the PTT function. (I)
SubSec 7.2.2.21,7.2.2.21,"In a group call, an audible and visual indication of whether the request was successfulshall be provided. The user may then talk whilst the PTT function is used. (M)"
SubSec 7.2.2.22,7.2.2.22,"If the user moves out of the group or broadcast call area whilst the call is in progress,an audible and visual indication of the loss of call shall be provided to the user. (M)Receive incoming Railway emergency call"
SubSec 7.2.2.23,7.2.2.23,Reception of this call shall proceed as for a standard group or broadcast call except thata distinctive audible and visual indication shall be provided. (M)Terminate calls
SubSec 7.2.2.24,7.2.2.24,The radio shall provide a means for the user to terminate calls which he is authorisedto terminate (ie all calls except broadcast or group calls not initiated by the user). (M)Shunting mode communications
SubSec 7.2.2.25,7.2.2.25,The Operational radio should provide facilities to support shunting mode as describedin section 14. (O)
SubSec 7.2.2.26,7.2.2.26,"If shunting mode is implemented, a means to enter and leave shunting mode shall beprovided. (M)"
SubSec 7.2.2.27,7.2.2.27,"If shunting mode is implemented, the functionality to enter or leave shunting modeshall not be available whilst there are on-going calls involving the Operational radio.(M)"
SubSec 7.2.2.28,7.2.2.28,"If shunting mode is implemented, the link assurance tone shall be provided via theloudspeaker. (M)Direct mode"
SubSec 7.2.2.29,7.2.2.29,A means to enter/leave the direct mode of operation should be provided (see section
