,req,reqId,reqPriority,reqSeverity,reqType
18952,[meta] [socket-process] Get WPT test running with the socket process enabled,1531489,P3,normal,enhancement
18953,Find out how often we syntax-parse when we should full-parse immediately,1343483,--,normal,enhancement
18954,[meta] [socket-process] Define when and how to enable WebRTC networking inside the socket process,1531492,P3,normal,enhancement
18956,Investigate a11y instantiator oddities on ARM64,1531537,P3,normal,enhancement
18958,DevTools should handle Esc key with keydown event listener rather than keypress event listener,1478559,P3,normal,enhancement
18959,[Context Menu] Bookmarked or Save to Pocket story loses Remove Bookmark or Archive/Delete From Pocket on browser restart,1531596,P2,normal,enhancement
18961,when updating a revision update reviewers from the local commit if the revision on phabricator doesn't have any reviewers,1531627,P3,normal,enhancement
18962,"Remove remaining mozRTC* stuff (mozRTCPeerConnection, mozRTCIceCandidate, mozRTCSessionDescription)",1531812,P3,normal,enhancement
18963,Don't create the hidden window on a normal browsing session,1531854,P3,normal,enhancement
18964,List active tabs for a service worker and add a focus button,1459969,--,normal,enhancement
18965,Implement bulk edit triage mode on new search results page,1531859,--,normal,enhancement
18967,Ability to link/move bugs between different bugzilla sites,203628,--,normal,enhancement
18969,reorganize the preferences,61362,P2,normal,enhancement
18970,Remove the XPCOM component registration for nsHttpChannelAuthProvider,1489916,P2,normal,enhancement
18972,[meta] Make resist fingerprinting work per-frame,1531873,--,normal,enhancement
18978,[meta] windows/aarch64 - skipped/disabled media tests,1531927,P5,normal,enhancement
18981,[hazards] Virtual method resolution is incorrect/incomplete,1531951,P3,normal,enhancement
18982,Make sure Cross-Origin policy is passed to workers and service workers and respected in SW fetch,1532287,P2,normal,enhancement
18987,Avoid saving a munged password in login storage,1532377,P3,normal,enhancement
18988,Set browser.tabs.remote.separatePrivilegedContentProcess to true by default in Nightly,1472212,P1,normal,enhancement
18989,Support python 3 in mozharness,1532427,--,normal,enhancement
18992,"Omit ""https://""",1067293,P3,normal,task
18993,Rename onRefreshAttempted() to onRedirectAttempted() and make it handle all the redirection,803590,--,normal,enhancement
18994,[meta] Browsing Context Improvements,1532670,P3,normal,enhancement
19017,[meta] User-initiated Picture in Picture for video - Milestone 4,1532675,--,normal,task
19019,[meta] User-initiated Picture in Picture for video - Milestone 5,1532677,--,normal,task
19021,When in PPB exit early without permission,1532774,P2,normal,enhancement
19023,Make LocationProxy::SetHref/Replace use IPC instead of calling BrowsingContext::GetDOMWindow,1532994,P3,normal,enhancement
19025,[META] Firefox only failing WebRTC Web Platform tests,1533013,--,normal,enhancement
19033,[WebRTC RTCCertificate] Firefox only web platform test failures,1533015,P2,normal,enhancement
19037,Enable client/webide/test/browser_tabs.js in e10s,1478253,P3,normal,enhancement
19038,[webRTC RTCIceCandidate] Firefox only failing web platform tests,1533019,P2,normal,enhancement
19042,[WebRTC RTCRtpReceiver] Firefox only failing web platform tests,1533024,P2,normal,enhancement
19044,Highlight the used fonts in the font-family properties in the new rules view,1533091,P3,normal,enhancement
19046,[meta] windows/aarch64 - skipped/disabled a11y tests,1533114,P5,normal,enhancement
19049,Have FormLikeFactory (and LoginFormFactory return class instances),1533176,P3,normal,enhancement
19050,Make Checks API work with decision tasks in taskcluster-github,1533235,--,normal,enhancement
19052,[WebRTC RTCRtpSender] Firefox only failures web platform tests,1533321,P2,normal,enhancement
19055,deprecate tokens service and use taskcluster credentials,1533330,--,normal,enhancement
19057,JS API for Table.grow should take optional second argument for init value,1507491,P3,normal,enhancement
19059,freeze UA sheet shared memory and enable the feature,1533569,P2,normal,enhancement
19062,[meta] Figure out how to test sub targets - review the client library,1533714,--,normal,task
19063,"[Tracker] Scheduled Tree Closing Window, Sat November 19  2016, time 7a - 12p PST",1313152,--,normal,task
19064,[meta] about:addons interface changes [phase 1],1533795,P1,normal,task
19081,A youtube live chat with rapid chats uses a lot of CPU. Makes nightly sluggish,1533815,P3,normal,enhancement
19083,Clear mPreviousTimeStamp when we skip calling SampleAnimations in CompositeToTarget(),1458798,P1,normal,enhancement
19084,Long composites when scrolling espn.com on the HD8,1533833,P3,normal,enhancement
19087,[meta] UX refresh of about:config,1533856,P3,normal,task
19094,"Replace text with icons in the ""about:config"" buttons",1533863,P3,normal,task
19097,[meta] windows/aarch64 - skipped/disabled web-platform-tests,1533880,P5,normal,enhancement
19099,[Fission] Make WebNavigation ready for Fission,1533943,P3,normal,enhancement
19101,[Fission] Make core functionality from tab-content.js ready for Fission,1533950,P3,normal,enhancement
19103,Remove type from Whiteboard once bug type field is added,1534025,--,normal,task
19106,Remove nsIRDF* use from feeds code,1534163,--,normal,task
19108,Only load RefreshBlocker code when necessary,1461548,P1,normal,enhancement
19110,Ion-inline more natives cross-realm,1534214,P3,normal,enhancement
19112,Automatically annotate all XPIDL methods that are scriptable and not builtinclass as MOZ_CAN_RUN_SCRIPT,1534292,P3,normal,enhancement
19113,Indentation fixes in Stream.cpp,1506657,P2,normal,enhancement
19115,Consider making all webidl callback bits MOZ_CAN_RUN_SCRIPT,1534369,P2,normal,enhancement
19120,[meta] Improve WR on the Kindle Fire HD8,1534401,P3,normal,task
19124,Convert autocomplete binding to Custom Element,1534455,P3,normal,task
19128,Add Preference Pane checkbox to control CFR Notifications,1499080,P3,normal,enhancement
19132,Avoid nested / multiple async zoom containers,1534459,P3,normal,enhancement
19134,Add permanent/'sticky' area to overflow panel (behind a pref),1354079,P1,normal,enhancement
19136,make libvorbis compile on aarch64 windows,1481512,P3,normal,enhancement
19137,Build geckodriver via a toolchain build task,1534533,P3,normal,task
19139,XULMAP.h functions should take Element* instead nsIContent*,1442800,--,normal,task
19141,Convert usage of legacy actions to WebDriver actions,1534582,--,normal,task
19142,"Split ""device"" in manufacturer and model",1522552,P1,normal,enhancement
19143,GeckoView WebExtension pages support.,1534640,P2,normal,enhancement
19145,"It should be possible to restrict which folders trigger the ""new messages"" alert",323758,--,normal,enhancement
19146,implement AudioWorkletGlobalScope::RegisterProcessor(),1473467,P2,normal,enhancement
19147,Release marionette_driver 3.0.0 and marionette_harness 5.0.0,1534702,P3,normal,enhancement
19150,[meta] windows/aarch64 - skipped/disabled mochitest tests,1534823,P5,normal,enhancement
19159,"Make Description (Comment 0) separate from comment feed, make it editable by everyone",1535000,--,normal,enhancement
19162,[META] CFR,1535001,P2,normal,enhancement
19184,[META] Homepage setting protection,1535090,--,normal,enhancement
19186,[meta] Debugger Build Step,1535108,P3,normal,task
19194,"In tools->password manager provide ""export"" option",180582,P5,normal,enhancement
19195,[meta] Improve Node Tests,1535113,P5,normal,task
19204,Add support for extension process.,1535365,P2,normal,enhancement
19206,Update GeckoView accessibility test for selecting to test TYPE_VIEW_SELECTED event.,1481922,--,normal,enhancement
19207,Annotate the parts of the custom element registry that can run script with MOZ_CAN_RUN_SCRIPT,1535395,P2,normal,enhancement
19208,Add a preference to allow proximity sensor triggering of vrdisplayactivate and vrdisplaydeactivate,1350076,--,normal,enhancement
19209,Enable running background-color animations on the compositor by default for non-WebRender,1535532,P3,normal,enhancement
19213,[meta] Quantum Bar Experiments,1535566,P3,normal,task
19215,[meta] Pocket New Tab,1535711,P1,normal,enhancement
19340,cross-channel-l10n: sparse graph implementation,1370197,--,normal,task
19342,[meta]  Remove native theming for content,1535761,P3,normal,enhancement
19344,Implement the Static class features proposal,1535804,P2,normal,enhancement
19348,Add JumpList variant for jump across bytecode-lets,1536037,P3,normal,enhancement
19350,Add a title to each section in about:addons,1488727,P2,normal,enhancement
19351,Add a workaround to the server to detect that a device has been unplugged,1536144,P3,normal,enhancement
19353,[meta] windows/aarch64 - skipped/disabled xpcshell tests,1536208,P5,normal,enhancement
19357,[meta] windows/aarch64 - skipped/disabled reftests,1536354,P5,normal,enhancement
19362,Picture caching improvements,1536360,P2,normal,enhancement
19370,Stop using a chromeonly static for Foo.isInstance,1452786,P2,normal,enhancement
19371,Get rid of nsXPCComponentsBase,1448992,P2,normal,enhancement
19373,[meta] Breakage from requiring user interaction for notification permission prompts,1536413,P3,normal,enhancement
19375,"Add a ""send to device"" subview to the page action menu",1363182,P1,normal,enhancement
19376,Quantum DOM Scheduling,1350432,--,normal,enhancement
19377,Pioneer online news v2 dwell time dataset domain ignores eTLDs,1536662,P1,normal,enhancement
19378,Add memory reporter for non-stack thread overhead,1477512,--,normal,enhancement
19379,Determine if deferred event handling can be simplified,1536822,P3,normal,task
19382,[META] QA for CFR message in non en-US locales,1536846,P1,normal,task
19383,[meta] Require GCC 7,1536848,--,normal,enhancement
19387,[meta] Windowless Worker Debugging M2,1536893,P3,normal,task
19390,Add test that iterates all about: pages and ensure they all have a valid CSP,1537685,P2,normal,enhancement
19391,Upgrade es-py and es-dsl to 5.1.1 versions,1332364,--,normal,task
19392,improve beetmover resilience by switching Thunderbird and Devedition to declarative artifacts; cleanup afterwards,1537713,--,normal,enhancement
19394,Make ICScript/TypeScript allocation faster,1537906,P2,normal,enhancement
19398,Fix threading assertions/safety in AndroidDynamicToolbarAnimator,1479755,P3,normal,enhancement
19399,Allow rewriting commit messages when landing for security bugs,1538242,P2,normal,enhancement
19406,Give filters capability to bounce back e-mail.,11769,P3,normal,enhancement
19407,Consider using a separate domain for MitM priming,1538644,P3,normal,enhancement
19409,[META] Message System Router,1538729,P2,normal,enhancement
19418,Create two new python3 environments on buildduty tools,1538743,P1,normal,task
19419,Inform the user about previously unrecognized extension permissions on browser upgrade,1490797,P5,normal,enhancement
19420,"Add ability to select ""English (India)"" [en-IN] in language selection interface",573320,--,normal,enhancement
19421,Automatically deploy FIC and TWC on buildduty tools,1538751,--,normal,task
19426,Reduce / remove copy and memory allocation when using RemoteDataDecoder (decoder side),1539043,P2,normal,enhancement
19432,[meta] Support running WordPress test suite against Firefox,1539202,--,normal,task
19466,Run background-color animations on the compositor for non-WebRender,1504065,P3,normal,enhancement
19467,Overhaul bug ID field UX with autocomplete and bug list with summaries,1539271,P2,normal,enhancement
19469,Build a website app example for GeckoView,1512576,P3,normal,enhancement
19470,Remove useless toolchain dependencies,1356990,--,normal,enhancement
19471,ConsoleWorkletRunnable thread shutdown incompatibility,1492011,P3,normal,enhancement
19474,[meta] [metameta] Cranelift: Performance parity with Baldr on x86_64,1539399,P3,normal,task
19493,[meta] Cranelift: Performance parity with Baldr on x86_64 for fib(37),1539400,P3,normal,task
19497,[meta] Mark more interfaces builtinclass where possible,1539495,P3,normal,enhancement
19505,Use .properties for the SVG elements summary tables on de pages,1218849,--,normal,enhancement
19506,Provide helpers to only show the still-allocated JS object allocations,1539518,P3,normal,enhancement
19508,Consider snapping scale in StackingContextHelper when animated,1494829,P4,normal,enhancement
19509,Reuse old display items during display list building if the frame is not modified,1539597,P2,normal,enhancement
19511,Allow entry of non-integer DPR values,1319605,P3,normal,enhancement
19512,nsIObserverService::NotifyObservers should be MOZ_CAN_RUN_SCRIPT,1539808,--,normal,enhancement
19514,Update webrender to 97a3807ea8266c324feb3ecada2ac5fd78c80e9b,1493097,P3,normal,enhancement
19515,nsIObserver::Observe should be MOZ_CAN_RUN_SCRIPT,1539845,--,normal,enhancement
19517,Need a way to handle MOZ_CAN_RUN_SCRIPT in IPDL-generated code,1539864,P3,normal,enhancement
19519,[meta] AMD GPUs,1539902,P3,normal,enhancement
19527,[socket-process][meta] Phase 2 - optimizations,1539909,P2,normal,enhancement
19533,(mask-image) Support 'luminance' and 'match-source' values for 'mask-mode',1228354,--,normal,enhancement
19534,Merge TextEditRules and HTMLEditRules with TextEditor and HTMLEditor,1540029,P3,normal,enhancement
19541,Get rid of nsIPlaintextEditor interface,1540043,P3,normal,enhancement
19543,Investigate if CSP and Referrer are spec-compliant within nsWindowWatcher,1540119,P3,normal,task
19545,[meta] add abuse reporting flow to about:addons,1540175,P3,normal,enhancement
19550,Change the copy of certificate error pages,1463759,P3,normal,enhancement
19551,"Fix and improve UX of selecting, and deleting recipients in Mailing Lists",1540386,--,normal,enhancement
19552,Stop eagerly XDR encoding scripts in the preloader cache,1470793,--,normal,enhancement
19553,LSNG: Convert most of MOZ_ASSERT to MOZ_DIAGNOSTIC_ASSERT,1540401,P2,normal,task
19555,[meta] Audit callers to nsIWidget::WidgetToScreenOffset() that call PuppetWidget::WidgetToScreenOffset(),1540630,P3,normal,enhancement
19559,[Python] Reformat the tree using black,1540641,--,normal,enhancement
19560,Add Web IDL constructor for signature verifier,1540645,P3,normal,enhancement
19561,(photon) Lottie library integration,1366663,P3,normal,enhancement
19562,Add layerless painting,1540737,P3,normal,enhancement
19563,Allow WebExtensions to control cookie behaviour,1363860,P2,normal,enhancement
19564,Session store updates (inefficiently) - 1 observer per tab - when users select a different page style,1348816,--,normal,enhancement
19565,Fix Ion resume point overhead,1540935,P2,normal,enhancement
19566,QA handoff of SQS event handling from fxa-basket-proxy to basket,1453883,--,normal,task
19567,[meta] Fission mochitest helpers,1541173,P2,normal,task
19574,[meta] main thread IO before the app-startup notification,1541191,--,normal,task
19581,Avoid walking up frame tree across document boundaries in nsIFrame::IsVisibleConsideringAncestors and Accessible::VisibilityState,1541251,P2,normal,enhancement
19585,Site Data Manager should allow (right-click) Add To Exceptions,316539,P3,normal,enhancement
19586,[meta] main thread IO before the browser becomes idle,1541259,--,normal,task
19590,[meta] Add an option to block all autoplay,1541283,--,normal,enhancement
19592,convert use of defer to new Promise in devtools/client/shared/test/shared-head.js,1449635,--,normal,enhancement
19593,Migrate 32-bit Firefox (WOW64) Windows on Arm users to 64-bit Firefox (Arm64),1541292,P3,normal,task
19595,[meta] Refine IndexedDB,1541370,P3,normal,task
19609,Gradual rollout of WebRender in release 67,1541488,P1,normal,task
19612,Set up mac minis for notarization,1541565,--,normal,task
19621,Drop the main-thread input-driven scrolling codepaths,1541595,P3,normal,task
19623,Move sourcemap processing to be per-source-actor to better align with dependencies,1541633,P3,normal,task
19625,Consider removing nsISelection,1387143,P3,normal,enhancement
19626,"Make source text a top-level ""content"" reducer in Redux",1541638,P3,normal,task
19628,Apply Meta CSP to about:devtools,1497199,P3,normal,enhancement
19629,Apply Meta CSP to about:profiles,1497204,P3,normal,enhancement
19630,Move source text parser/symbol processing to be part of the content resource,1541639,P3,normal,task
19632,Make page threads a top-level resource/reducer in the Redux store,1541645,P3,normal,task
19634,[meta] Implement CSS Box Model Module Level 3,1541794,--,normal,enhancement
19636,[meta] Support WebRender on GL ES 2.0,1541975,P3,normal,enhancement
19638,[meta] Modernize the search engine configuration and its management,1542235,P3,normal,task
19664,Replace desktop's list.json for Search Engines with the new configuration format and rule engine,1542268,P1,normal,task
19665,Don't accidentally let webrender ride to release,1497916,P1,normal,enhancement
19666,feature request: Transfer open tabs in one window to a different mozilla window,187310,--,normal,enhancement
19668,Migrate the new Search Engine configuration to be loaded from RemoteSettings,1542269,P1,normal,task
19670,DNS security should be detailed in site information panel,1542331,P3,normal,enhancement
19672,Display if DNS resolution used TRR or not,1542357,P3,normal,enhancement
19674,Def FrameLoader rebuild preferences to on,1542415,P2,normal,task
19677,Convert menu bindings to a Custom Element,1519502,P3,normal,task
19678,Code clean-up:  remove blanks from brackets in parameters and align if and for correctly.,1542542,--,trivial,enhancement
19679,"[Payment Request API] Fix the crash due to  ""Hit MOZ_CRASH(IPC message size is too large) "" when doing constructor tests",1367668,--,normal,enhancement
19680,[de-xbl] convert the glodaSearch binding,1542720,--,normal,task
19683,Revisit icon size in DebugTargetInfo component,1542801,P3,normal,enhancement
19687,Move collection of Untrusted Modules telemetry into the launcher process,1542830,P1,normal,enhancement
19693,"configure should prefer .mozbuild copy of ""node"" if ""nodeJS"" is later in the PATH",1482676,P1,normal,enhancement
19695,[meta] Add server-controllable collapsible sections to Discovery Stream - TBD,1542866,P2,normal,enhancement
19698,"[meta] Stop using unnecessary type attributes (i.e. [type=""application/javascript""]) on script tags",1542877,P3,normal,task
19701,Run JSON.stringify on return value from Execute (Async) Script,1363053,--,normal,enhancement
19702,worker-manager: ui in tc-web,1542905,--,normal,task
19707,Implement sandboxing on OpenBSD with pledge(),1457092,P1,normal,enhancement
19709,Convert content/browser/usercontext.svg to use context paint and avoid filtering to improve performance,1368411,--,normal,enhancement
19710,Expose whether trr was used to nsHttpChannel,1543010,P3,normal,enhancement
19712,[meta] Main thread IO before handling user events,1543102,--,normal,task
19714,Show helpful information when incorrectly loading an incorrect arch build,1543130,P3,normal,enhancement
19716,Make the Picture-in-Picture no-controls toggle code more efficient,1543131,P3,normal,enhancement
19717,Implement redirection tip,1462144,P1,normal,enhancement
19718,[meta] Main thread IO before first paint,1543203,--,normal,task
19722,Create production deployment of Iodide in GCP,1543305,P2,normal,task
19729,Make nsIPrincipal objects threadsafe,1443925,P3,normal,enhancement
19730,Update styles for more general collapsible sections,1543442,P3,normal,enhancement
19732,Add evolution address books,450905,--,normal,enhancement
19733,window.scrollTo() should preserve the relative offset between the visual and layout viewports,1543485,P3,normal,enhancement
19734,Implement RTCPeerConnection.setConfiguration,1253706,P3,normal,enhancement
19735,Enable direct UTF-8 compilation of all web-visible scripts in release,1543514,--,normal,enhancement
19736,[meta] Implement responsive images,1107640,--,normal,enhancement
19737,Fission a11y: Add browser tests for a11y tree and events on OOP iframes,1543575,P3,normal,task
19740,Audit hit testing with blob images,1451424,P1,normal,enhancement
19741,Use DevTools specific blocking reason for manual resource blocking,1543613,P3,normal,enhancement
19743,Implement browsingData.removeCookies WebExtension API method on android,1362998,P5,normal,enhancement
19744,Enable the storage access API on GeckoView,1543720,P2,normal,enhancement
19748,Support browser.tabs in GeckoView,1543755,P3,normal,enhancement
19753,[meta] Migrate more of content framework code to C++,1543777,--,normal,task
19756,Evaluate using dromaeo_css for PGO training,1543852,--,normal,enhancement
19757,Update webrender to 4e9ed699f3be741102120ba2d499e91c0adba6ab,1501616,P3,normal,enhancement
19758,Evaluate using stylebench for PGO training,1543853,--,normal,enhancement
19760,Evaluate using displaylist_mutate for PGO training,1543854,--,normal,enhancement
19762,Extend WebRender experiment to Linux,1543862,P2,normal,task
19766,Add a tracking protection option to the hamburger menu,1462468,P1,normal,enhancement
19767,Glean: Implement Fenix A/A/A test,1543986,P3,normal,task
19768,Convert ThreadClient to protocol.js front,1494796,P1,normal,task
19769,"[meta] Switch lazy markup insertion to using <template> tags, also in XUL",1544027,--,normal,task
19770,Allow different email signatures for HTML and plain text messages,553958,--,normal,enhancement
19772,"Remove ""tree"" from the Library window and the sidebar",1446339,P3,normal,task
19773,Consider using RKV for PersistentCache.jsm,1544052,P3,normal,enhancement
19776,[de-xbl] Remove attachment-list-base and its consumers' binding.,1523607,--,normal,task
19779,Cannot use sliders on Colour Widget tooltip,1361741,--,normal,enhancement
19780,[meta] Parse JS without allocating on the GC,1544117,P2,normal,enhancement
19784,Ship remote agent in Nightly,1544393,P3,normal,enhancement
19786,[meta] Improve cert error code,1544564,P3,normal,enhancement
19795,Add support for using MOZ_LOG entries at markers in Gecko profiles,1544800,P3,normal,task
19796,Stop waiving the return value of the Sandbox constructor when wantXrays is false,1491488,P2,normal,enhancement
19797,Add error reporting functions for BinAST similar to regular parser,1502792,P3,normal,enhancement
19798,Get Element Property should JSON serialise its response value,1544906,P3,normal,enhancement
19801,[meta] Remote debugger MVP,1545057,--,normal,task
19861,stylo: Do not fill computed values in missing 0%/100% keyframes in CSS Animation,1360398,P3,normal,enhancement
19862,"UrlbarInput: While typing, show the Go button and hide the history dropmarker",1500086,P3,normal,enhancement
19863,Status window,472680,--,normal,enhancement
19864,[Ronin Majave] ssh module,1545201,--,normal,task
19865,Enable ESLint for netwerk/test/httpserver/,1504323,P2,normal,enhancement
19866,Create is_regression field,1545258,--,normal,task
19868,stylo: Animation-only restyle seems to be broken,1367225,P1,normal,enhancement
19869,[meta] UX: Runtime page,1501640,--,normal,enhancement
19870,Add support for custom features for Gecko profiler,1545386,P2,normal,task
19872,Enhance Custom Search UI on Advanced Search page,1545621,--,normal,enhancement
19873,GetMinidumpType() can take a long time during startup,1370609,--,normal,enhancement
19874,Statically identify a set of XPIDL interfaces that can be marked builtinclass,1545801,--,normal,task
19878,Telemetry causes Places to do periodic main thread IO,1361431,P4,normal,enhancement
19879,Simplify a bit of the image request related code.,1463386,P3,normal,enhancement
19880,Remove the code for XMLDocument.load/async if possible,1546112,P3,normal,task
19883,Figure out the telemetry story for GeckoView,1546149,P3,normal,task
19887,Windows Group Policies support (make Firefox configurable with domain group policy objects),267888,--,normal,enhancement
19889,"[tracking] Session managers - data storage, IndexedDB",1546264,--,normal,enhancement
19893,Add a BITS only download test that doesn’t use app update,1546271,P3,normal,task
19894,Add a new output parser to support rendering of the parsed declaration values in the new rules view,1522215,P3,normal,enhancement
19895,Refactor nsSHEntry,1546344,P3,normal,task
19897,Make global bfcache eviction work with session history in the parent process,1546348,P3,normal,task
19899,Reimplement history listeners for session history living in the parent process,1546350,P3,normal,task
19901,[META] Firefox only Layout Web Platform Tests,1546389,--,normal,task
19909,Reduce Telemetry background CPU usage,1546430,P2,normal,enhancement
19910,[meta] Improve View Source,455888,--,normal,enhancement
19911,[meta] Start-up performance bugs that only impact brand new profiles,1546460,--,normal,task
19918,Make relengapi-proxy redeployable *OR* migrate everything off of it,1546663,--,normal,task
19920,Remove checkin-needed keyword from BMO,1546667,--,normal,task
19923,Prevent dining philosophers deadlock in HelperThreads in a principled way,1379814,--,normal,enhancement
19924,Change nsSHistory::WalkHistoryEntries to walk browsing context tree instead of doc shell tree,1546759,P3,normal,enhancement
19927,separate cookies in tabs,323182,--,normal,enhancement
19928,Use close panel animation for tab modal,1507626,P3,normal,enhancement
19930,Enable clang -ftrivial-auto-var-init=pattern in --enable-hardening builds,1546873,--,normal,enhancement
19931,Web platform test of PaymentRequestUpdateEvent constructor (non-secure context) fails,1380550,--,normal,enhancement
19933,Make more FxA attributes available to snippet admin service for targeting via AS Router,1547120,P3,normal,enhancement
19935,[WebRTC QUIC] [meta] Firefox only web platform test failures,1547121,P4,normal,enhancement
19937,Write Test for CSP serialization within Expanded Principals,1547271,P3,normal,task
19938,Feature request: New filter type that pipe message though external program,318909,--,normal,enhancement
19939,[meta] Quantumbar add-on experiment: Top sites in quantumbar,1547279,P1,normal,task
19961,Make sure cookies aren't saved on channel headers in the content process.,1460609,P2,normal,enhancement
19963,Enable remote 2D canvas on Nightly.,1547286,P2,normal,enhancement
19966,Add cryptomining and fingerprinting protection options to custom content blocking preferences,1522567,P1,normal,enhancement
19967,[meta] Convert all <textbox> (except type=autocomplete) to HTML <input>,1547372,--,normal,task
19986,Use tooltool_fetch to download grcov,1465738,--,normal,enhancement
19987,[jsdbg2] Debugger.Frames are dumb about suspended generators,1547520,P2,normal,enhancement
19988,[SUMO] Removing DainikBhaskar.com,1547652,P1,normal,task
19990,Add in-tree ‘Guide to implementing QB WebExtensions’ documentation,1547676,P3,normal,task
19991,"Separate ""When Navigator starts up"" from ""What a new tab/window does"" preferences",197671,--,normal,enhancement
19992,[meta] Debugger DOM Mutation Breakpoints M1,1547692,P2,normal,task
20002,Rename tab-scoped actors to target-scoped actors,1465637,P2,normal,enhancement
20006,Store session history entries' mLayoutHistoryState in the parent process,1547734,P3,normal,task
20009,Get some kind of regular reporting of crash ping telemetry,1547810,P2,normal,task
20012,[socket process]  let unknown decoder work in socket process,1547876,P3,normal,enhancement
20014,Analyze if PVS-Studio is useful as a static analyses tool,1548059,P3,normal,task
20016,Clean up mock data in the code for new worker manager ui,1548068,--,normal,task
20020,Migrate xul mochitest-chrome documents in xpfe/ to html,1548152,P5,normal,task
20022,[meta] Support and Require Python 3 in our Testing Infrastructure,1548264,P3,normal,enhancement
20025,migrate beetmoverscript workers to cloudops,1548336,--,normal,task
20027,Test software rasterizer backend for WR,1548395,P3,normal,task
20029,Move CSP off ExpandedPrincipal,1548468,P3,normal,task
20030,"Implement CSS attr(<attr-name> color, <attr-fallback>)",1448251,P3,normal,enhancement
20031,Implement all attributes of ExceptionDetails,1548480,P3,normal,enhancement
20034,jsid's inside ShapeTable with Symbols created from Symbol.for(foo) and with foo will cause hashtable collision,1382435,--,normal,enhancement
20035,Introduce Resource API for listing tabs,1548557,P3,normal,enhancement
20038,[meta] Target.createTarget,1548588,--,normal,task
20040,[meta] Target.setDiscoverTargets,1548592,--,normal,task
20042,[meta] Target.attachToTarget,1548593,--,normal,task
20045,[meta] Target.closeTarget,1548595,--,normal,task
20047,[meta] Target.createBrowserContext,1548596,--,normal,task
20050,[meta] Target.disposeBrowserContext,1548600,--,normal,task
20052,[meta] Target.sendMessageToTarget,1548604,--,normal,task
20055,[meta] Input.dispatchMouseEvent,1548606,--,normal,task
20058,Stop eagerly allocating profile strings,1548775,P2,normal,task
20060,Add an autocomplete row to offer a password already generated on the page,1548854,P2,normal,enhancement
20062,Clean up DevTools server dir,1446222,P3,normal,enhancement
20064,Document post-Sandstone Bugzilla design system,1548883,--,normal,task
20068,Create high contrast theme,1548954,--,normal,enhancement
20070,[meta] DOM.getBoxModel,1549063,--,normal,task
20074,[meta] Page.bringToFront,1549068,--,normal,task
20076,Ship Promise.allSettled,1549176,P2,normal,enhancement
20078,Implement Web Authentication FIDO2 support in GeckoView,1549418,P2,normal,enhancement
20080,[meta] Browser.close,1549420,--,normal,task
20083,[meta] Browser.getVersion,1549421,--,normal,task
20088,[meta] DOM.getContentQuads,1549429,--,normal,task
20092,[meta] DOM.setFileInputFiles,1549431,--,normal,task
20094,[meta] Page.getFrameTree,1549435,--,normal,task
20097,[meta] Input.dispatchKeyEvent,1549443,--,normal,task
20103,[meta] Log.enable,1549448,--,normal,task
20106,[meta] Log.disable,1549449,--,normal,task
20109,Cleanup inline options browser hacks,1549450,P2,normal,task
20112,[meta] Log.entryAdded,1549451,--,normal,task
20115,[meta] Network.emulateNetworkConditions,1549455,--,normal,task
20117,[meta] Network.setRequestInterception,1549463,--,normal,task
20119,[meta] Page.captureScreenshot,1549466,--,normal,task
20123,[meta] Page.enable,1549469,--,normal,task
20126,[meta] Page.disable,1549470,--,normal,task
20129,[meta] Page.reload,1549480,--,normal,task
20134,Add a low-overhead profiling mode which only collects markers and no sample-based information,1549482,P3,normal,enhancement
20135,[meta] Runtime.callFunctionOn,1549488,--,normal,task
20139,[meta] Runtime.enable,1549491,--,normal,task
20142,[meta] Runtime.disable,1549493,--,normal,task
20145,[meta] Runtime.evaluate,1549495,--,normal,task
20150,[meta] Runtime.getProperties,1549496,--,normal,task
20154,[meta] Runtime.releaseObject,1549498,--,normal,task
20157,[meta] Network.requestWillBeSent,1549509,--,normal,task
20159,[meta] Network.responseReceived,1549510,--,normal,task
20161,[meta] Page.domContentEventFired,1549511,--,normal,task
20164,[meta] Page.frameNavigated,1549514,--,normal,task
20167,[meta] Page.frameStoppedLoading,1549515,--,normal,task
20170,[meta] Page.loadEventFired,1549518,--,normal,task
20173,[meta] Page.navigatedWithinDocument,1549520,--,normal,task
20176,[meta] Runtime.consoleAPICalled,1549526,--,normal,task
20178,[meta] Runtime.executionContextCreated,1549529,--,normal,task
20181,[meta] Runtime.executionContextDestroyed,1549530,--,normal,task
20184,[meta] Target.attachedToTarget,1549534,--,normal,task
20187,[meta] Test overhead reduction,1549555,P3,normal,task
20199,Reserve memory before using push_back with vector,1387376,--,normal,enhancement
20200,Reduce overhead for capturing Profiler Markers and other data across processes,1549572,P3,normal,enhancement
20201,Sync StorageActivityService data on disk,1459974,P2,normal,enhancement
20202,Dynamic first party isolation,1549587,P2,normal,enhancement
20214,Redevelop Enter Bug page,1549621,--,normal,enhancement
20216,Implement Page.reload's ignoreCache argument,1549708,P1,normal,enhancement
20218,Reduce nesting and ensure proper cleanup of nodes used in photon panelmultiview transition code,1382243,P1,normal,enhancement
20219,Read the XUL flexbox attributes on XUL elements in CSS flexbox when layout.css.emulate-moz-box-with-flex is set,1493962,P3,normal,enhancement
20221,[meta] Send historical experiments information over Telemetry,1549760,P3,normal,enhancement
